frame_number,knee_angle,trunk,hip_rotation,ankle_speed_pps,knee_ang_vel_dps,captured_at
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:32:09.609304
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:35:01.551354
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:57:55.475178
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:58:27.863254
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:12:50.597411
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:13:03.026289
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:14:45.302285
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:15:10.892585
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:15:52.753722
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:17:13.566490
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:19:13.898673
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:19:37.899102
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:27:20.415059
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:28:14.289190
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:29:16.264215
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:32:08.636441
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:33:02.258348
